burn_cluster_collapse,snapshotDate,obsAge,prd_s_snpdt_burn_man_dim,prd_s_snpdt_tsl_man_dim,prd_s_snpdt_em_age_man_dim,epgrp_cumul_exp_pct_dev,epgrp_cumul_exp_var_pct_dev_since,epgrp_cumul_rdm_1_pct_dev,epgrp_cumul_rdm_1_var_pct_dev_since,epgrp_cumul_rdm_2_pct_dev,epgrp_cumul_rdm_2_var_pct_dev_since,epgrp_cumul_rdm_3_pct_dev,epgrp_cumul_rdm_3_var_pct_dev_since,epgrp_cumul_rdm_4_pct_dev,epgrp_cumul_rdm_4_var_pct_dev_since,epgrp_cumul_rdm_5_pct_dev,epgrp_cumul_rdm_5_var_pct_dev_since,mask_epgrp_cumul_exp_pct_dev,mask_epgrp_cumul_exp_var_pct_dev_since,mask_epgrp_cumul_rdm_1_pct_dev,mask_epgrp_cumul_rdm_1_var_pct_dev_since,mask_epgrp_cumul_rdm_2_pct_dev,mask_epgrp_cumul_rdm_2_var_pct_dev_since,mask_epgrp_cumul_rdm_3_pct_dev,mask_epgrp_cumul_rdm_3_var_pct_dev_since,mask_epgrp_cumul_rdm_4_pct_dev,mask_epgrp_cumul_rdm_4_var_pct_dev_since,mask_epgrp_cumul_rdm_5_pct_dev,mask_epgrp_cumul_rdm_5_var_pct_dev_since,prd_s_snpDt_epgrp_os,prd_s_snpDt_epgrp_os_squared,pred_epgrp_cumul_exp_pct_dev,pred_epgrp_cumul_exp_pct_dev_since_total_variance,pred_epgrp_cumul_exp_pct_dev_since_vhm,pred_epgrp_cumul_exp_var_pct_dev_since,pred_epgrp_cumul_rdm_1_pct_dev,pred_epgrp_cumul_rdm_1_pct_dev_since_total_variance,pred_epgrp_cumul_rdm_1_pct_dev_since_vhm,pred_epgrp_cumul_rdm_1_var_pct_dev_since,pred_epgrp_cumul_rdm_2_pct_dev,pred_epgrp_cumul_rdm_2_pct_dev_since_total_variance,pred_epgrp_cumul_rdm_2_pct_dev_since_vhm,pred_epgrp_cumul_rdm_2_var_pct_dev_since,pred_epgrp_cumul_rdm_3_pct_dev,pred_epgrp_cumul_rdm_3_pct_dev_since_total_variance,pred_epgrp_cumul_rdm_3_pct_dev_since_vhm,pred_epgrp_cumul_rdm_3_var_pct_dev_since,pred_epgrp_cumul_rdm_4_pct_dev,pred_epgrp_cumul_rdm_4_pct_dev_since_total_variance,pred_epgrp_cumul_rdm_4_pct_dev_since_vhm,pred_epgrp_cumul_rdm_4_var_pct_dev_since,pred_epgrp_cumul_rdm_5_pct_dev,pred_epgrp_cumul_rdm_5_pct_dev_since_total_variance,pred_epgrp_cumul_rdm_5_pct_dev_since_vhm,pred_epgrp_cumul_rdm_5_var_pct_dev_since,tenant_id
900,2015-07-31,0,tsl_man_dim: 01 | em_age: 03,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16377708.0,2493569565912.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
900,2015-07-31,1,tsl_man_dim: 01 | em_age: 03,1.0,3.0,0.0,0.0,0.0,0.0,0.0305228912372842,0.0184223351521462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16377708.0,2493569565912.0,0.0,0.0,0.0,0.0,1.1459968390914456e-11,0.0,0.0,0.0,0.0039021354168653,10560.696997942505,0.0,0.0693624168634414,0.0005914521170780063,2410.2859451719655,0.0,0.0158307030797004,0.0,157.47362812536946,0.0,0.0010342831956222,1.0524844884507443e-11,169.97263236180652,0.0,0.0011163763701915,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
900,2015-07-31,2,tsl_man_dim: 01 | em_age: 03,1.0,3.0,0.0,0.0,0.0,0.0,0.0351060111707938,0.0459747456133873,0.0028445372209591,0.0021052631578947,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16377708.0,2493569565912.0,0.0,0.0,0.0,0.0,1.1459968390914456e-11,0.0,0.0,0.0,0.0036315517500042,11173.189486317606,0.0,0.0733852535486221,0.0004623829445336014,2242.8180233949915,0.0,0.0147307775914669,0.0,114.1118275701152,0.0,0.0007494838791899383,1.0524844884507443e-11,135.8611229732039,0.0,0.0008923327550292015,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
900,2015-07-31,3,tsl_man_dim: 01 | em_age: 03,1.0,3.0,0.0,0.0,0.0,0.0,0.0180119220589352,0.0609372790745047,0.0,0.0021052631578947,0.0,0.0,0.004622136381965,0.0042016433488785,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16377708.0,2493569565912.0,0.0,0.0,0.0,0.0,1.1459968390914456e-11,0.0,0.0,0.0,0.003822143189609,12527.510775264233,0.0,0.0822804048657417,0.0005657389992848039,2528.8774119609893,0.0,0.0166096091270446,0.0,135.10551082004838,0.0,0.0008873699116520584,1.0524844884507443e-11,151.99668295847715,0.0,0.0009983107447624209,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
900,2015-07-31,4,tsl_man_dim: 01 | em_age: 03,1.0,3.0,0.0,0.0,0.0,0.0,0.0394157106720916,0.0770905822495739,0.0009330975982719926,0.0062891405729513,0.0,0.0,0.0,0.0042016433488785,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16377708.0,2493569565912.0,0.0,0.0,0.0,0.0,1.1459968390914456e-11,0.0,0.0,0.0,0.0032362234778702,10426.682503476222,0.0,0.0684822127223014,0.0002990641223732382,1336.3952522542263,0.0,0.0087774135172367,0.0,79.57265699922908,0.0,0.0005226313951425254,1.0524844884507443e-11,80.66588893853078,0.0,0.000529811717569828,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
900,2015-07-31,5,tsl_man_dim: 01 | em_age: 03,1.0,3.0,0.0,0.0,0.0,0.0,0.0048962895174343,0.0874597175219606,0.0146993706323253,0.0104374861203641,0.0,0.0,0.0,0.0042016433488785,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16377708.0,2493569565912.0,0.0,0.0,0.0,0.0,1.1459968390914456e-11,0.0,0.0,0.0,0.0036441129632294,14805.135541063986,0.0,0.0972397923469543,0.0004942483501508832,2736.650415003542,0.0,0.0179742574691772,0.0,116.15846141444167,0.0,0.0007629261235706508,1.0524844884507443e-11,136.38506464049084,0.0,0.0008957739919424057,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
900,2015-07-31,6,tsl_man_dim: 01 | em_age: 03,1.0,3.0,0.0,0.0,0.0,0.0,0.0429529577642976,0.1040309722897297,0.0016083447085514,0.0124983344437042,0.0,0.0,0.0,0.0042016433488785,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16377708.0,2493569565912.0,0.0,0.0,0.0,0.0,1.1459968390914456e-11,0.0,0.0,0.0,0.0033662025816738,15037.76847728888,0.0,0.0987677201628685,0.0004090135043952614,2338.3169207205015,0.0,0.0153580121695995,0.0,87.93991325744354,0.0,0.0005775873432867229,1.0524844884507443e-11,115.25851715720236,0.0,0.0007570153102278709,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
900,2015-07-31,7,tsl_man_dim: 01 | em_age: 03,1.0,3.0,0.0,0.0,0.0,0.0,0.0267917220162919,0.1181856079098364,0.0210837194068913,0.0306462358427716,0.0,0.0,0.0,0.0042016433488785,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16377708.0,2493569565912.0,0.0,0.0,0.0,0.0,1.1459968390914456e-11,0.0,0.0,0.0,0.0036037685349583,16153.961894289176,0.0,0.1060988530516624,0.0004943966632708907,2638.5537879501035,0.0,0.0173299610614776,0.0,122.10402950898622,0.0,0.0008019764791242778,1.0524844884507443e-11,152.23164137327944,0.0,0.0009998539462685585,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
900,2015-07-31,8,tsl_man_dim: 01 | em_age: 03,1.0,3.0,0.0,0.0,0.0,0.0,0.0242499744164445,0.1301634644888753,0.0,0.0306462358427715,0.0,0.0,0.0,0.0042016433488785,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16377708.0,2493569565912.0,0.0,0.0,0.0,0.0,1.1459968390914456e-11,0.0,0.0,0.0,0.0034397048875689,18222.514792182417,0.0,0.119685061275959,0.0004355517739895731,3154.198034234905,0.0,0.0207167007029056,0.0,104.28540440331714,0.0,0.0006849441560916603,1.0524844884507443e-11,135.9571198632589,0.0,0.0008929632604122162,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
900,2015-07-31,9,tsl_man_dim: 01 | em_age: 03,1.0,3.0,0.0,0.0,0.0,0.0,0.0179684483323307,0.1415728111856133,0.0039829749071115,0.0345813901843213,0.0,0.0,0.0,0.0042016433488785,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,16377708.0,2493569565912.0,0.0,0.0,0.0,0.0,1.1459968390914456e-11,0.0,0.0,0.0,0.0034035420976579,18370.276835370427,0.0,0.1206555590033531,0.0004677143006119877,2830.8130129318897,0.0,0.0185927152633667,0.0,100.5212486523565,0.0,0.0006602212670259178,1.0524844884507443e-11,145.10178077394986,0.0,0.000953025184571743,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
