transactionType,earnMonth,variable,bucket_id,bucket_name,earn,tenant_id
Earn 1,2016-12-01,Bucket URR Rdm 3 Group,9.0,"0.7, 0.8",50858.0,2450a2f8-3b7e-4eab-9b4a-1f73d9a0b1c4
Earn 1,2017-02-01,Bucket URR Rdm 3 Group,1.0,"0.0, 1.0E-5",9416990.0,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 2,2019-04-01,Bucket URR Rdm 3 Group,6.0,"0.4, 0.5",9737741.0,2450a2f8-3b7e-4eab-9b4a-1f73d9a0b1c4
Earn 4,2017-10-01,Bucket URR Rdm 3 Group,12.0,"1.0, Infinity",21300382.0,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 5,2016-01-01,Bucket URR Rdm 3 Group,3.0,"0.1, 0.2",587809406.0,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 4,2015-08-01,Bucket URR Rdm 3 Group,4.0,"0.2, 0.3",7659546.0,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 2,2018-01-01,Bucket URR Rdm 3 Group,2.0,"1.0E-5, 0.1",21736341.0,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 1,2018-03-01,Bucket URR Rdm 3 Group,1.0,"0.0, 1.0E-5",11491682.0,2450a2f8-3b7e-4eab-9b4a-1f73d9a0b1c4
Earn 3,2019-01-01,Bucket URR Rdm 3 Group,2.0,"1.0E-5, 0.1",1844154656.0729828,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 4,2016-10-01,Bucket URR Rdm 3 Group,3.0,"0.1, 0.2",249801626.99804688,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 3,2021-01-01,Bucket URR Rdm 3 Group,11.0,"0.9, 1.0",4702193.6328125,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 4,2020-05-01,Bucket URR Rdm 3 Group,11.0,"0.9, 1.0",639146.9558105469,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 2,2020-12-01,Bucket URR Rdm 3 Group,1.0,"0.0, 1.0E-5",1634050.0,2450a2f8-3b7e-4eab-9b4a-1f73d9a0b1c4
Earn 3,2018-06-01,Bucket URR Rdm 3 Group,7.0,"0.5, 0.6",4390778.0,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 2,2018-10-01,Bucket URR Rdm 3 Group,12.0,"1.0, Infinity",3277769.0,2450a2f8-3b7e-4eab-9b4a-1f73d9a0b1c4
Earn 2,2016-02-01,Bucket URR Rdm 3 Group,1.0,"0.0, 1.0E-5",12389481.0,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 4,2021-01-01,Bucket URR Rdm 3 Group,7.0,"0.5, 0.6",4765656.777832031,2450a2f8-3b7e-4eab-9b4a-1f73d9a0b1c4
Earn 4,2016-02-01,Bucket URR Rdm 3 Group,3.0,"0.1, 0.2",102892393.0,2450a2f8-3b7e-4eab-9b4a-1f73d9a0b1c4
Earn 2,2019-01-01,Bucket URR Rdm 3 Group,1.0,"0.0, 1.0E-5",4949785.0,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 1,2020-06-01,Bucket URR Rdm 3 Group,1.0,"0.0, 1.0E-5",6772.0,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 2,2020-04-01,Bucket URR Rdm 3 Group,7.0,"0.5, 0.6",4951496.0,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 5,2019-07-01,Bucket URR Rdm 3 Group,12.0,"1.0, Infinity",33452675.30883789,2450a2f8-3b7e-4eab-9b4a-1f73d9a0b1c4
Earn 3,2016-02-01,Bucket URR Rdm 3 Group,10.0,"0.8, 0.9",1314996.0,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 5,2016-09-01,Bucket URR Rdm 3 Group,12.0,"1.0, Infinity",10510893.0,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 4,2020-09-01,Bucket URR Rdm 3 Group,7.0,"0.5, 0.6",7153646.3515625,2450a2f8-3b7e-4eab-9b4a-1f73d9a0b1c4
Earn 4,2020-09-01,Bucket URR Rdm 3 Group,10.0,"0.8, 0.9",1789831.677734375,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 1,2017-02-01,Bucket URR Rdm 3 Group,4.0,"0.2, 0.3",35587282.0,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
Earn 3,2020-05-01,Bucket URR Rdm 3 Group,5.0,"0.3, 0.4",11454713.561523438,2450a2f8-3b7e-4eab-9b4a-1f73d9a0b1c4
Earn 5,2016-06-01,Bucket URR Rdm 3 Group,6.0,"0.4, 0.5",6503190.0,8e1b3d5b-7c9a-4e2f-b1d3-a5c7e9f12345
